target,prime
hip,ATTIRE
honest,BANDAID
hotel,VALVE
hunter,NIECE
ignore,MAYBE
inferior,IN
it,MAGICIAN
jewish,PROTECTION
keep,STREAM
kiss,LONELY
ladder,DENIAL
law,FORM
leaves,AIRPORT
lesson,DISTANCE
light,AGREE
lock,RATIONALIZE
lot,RESTRICTION
mad,THRONE
man,JUMP
math,EMBARRASS
men,GUITAR
minus,ANCESTOR
mold,TUSK
most,ROBE
movement,ALONE
naked,SNEEZE
needle,SUB
newspaper,POCKETBOOK
not,CORPSE
object,PYRAMID
oil,TREBLE
orange,ELIMINATION
oxygen,FIRE
parent,ANNIHILATE
patient,DISOWN
pepper,FLESH
pick,BOILED
pizza,SKINNY
play,JESUS
police,DOLL
power,EXPLORER
princess,CORPORAL
protect,SCREW
push,CABINET
rabbit,TALK
ready,GARBAGE
refuse,BURIAL
restaurant,GUMS
rip,CALCULATOR
rose,IDOL
rules,DECREASE
sand,DISLIKE
scared,CRAB
seatbelt,BEING
seller,KING
shallow,KANGAROO
shell,WHEN
shopping,HELMET
sign,LOVING
six,TOENAIL
slippery,MORON
smooth,ASSISTANT
soda,SPIDER
soup,MELLOW
speed,REGRET
sports,ZEST
stair,BLACKBOARD
steak,DRAPES
stop,SPEED
strawberry,TRIUMPH
study,WHISKEY
summary,ABILITY
swamp,TYPE
table,VALUABLE
tart,PLATES
tears,SEA
tent,BREEZE
thing,MAD
thunder,MINUS
tired,ASCEND
tool,HEAL
trailer,GYM
trouble,VOTE
two,COMPACT
unusual,HIDDEN
vegetable,MONDAY
volcano,KNOWN
war,MAKE
weather,RAZOR
wet,COCKY
whole,PLEASE
wine,POLICEMAN
words,FORWARD
writer,ZIT
zero,OKAY
account,JOINT
addition,EXTENSION
agreement,NEGOTIATION
alright,MEDIOCRE
anger,VENT
apart,SPREAD
arm,STRONG
asia,ORIENT
aunt,GRACE
back,STRAIN
band,TROMBONE
bat,SWATTER
beautiful,WATERFALL
beginning,BIRTH
better,GOOD
bite,SCRATCH
board,CORK
borrow,SELL
bracelet,ANKLE
bride,WEDDING
bug,RODENT
butterfly,MONARCH
camera,MEDIA
card,STAMP
castle,SAND
ceremony,GRADUATION
check,PAY
chip,CHISEL
city,SLUM
clipper,HEDGE
clue,CONTEXT
color,BROWN
conceited,ATTITUDE
continent,NATION
cough,THROAT
crackle,CRUNCH
crops,FARMER
dad,SON
data,ANALYSIS
deep,BREATH
desk,SHELF
dime,PENNY
disappear,PERISH
doctor,PHYSICAL
door,HATCH
drive,VAN
dumb,IDIOT
eat,BANQUET
eleven,SEVEN
enemy,FRIENDSHIP
evidence,TRACE
experiment,PROCEDURE
fail,CHEAT
far,LOCAL
female,ATTRACTIVE
finish,ADJOURN
flakes,DANDRUFF
fog,UNCLEAR
foresight,INSIGHT
fragile,FRIGID
frog,BIOLOGY
gain,NET
geometry,GRAPH
glass,SMASH
goo,SLIME
grasp,REACH
group,JOIN
habit,ADDICTION
hard,DISCOMFORT
hear,SEE
here,AWAY
hog,BOG
hoop,EARRING
house,HAUNT
hurt,LASH
immature,JUVENILE
insane,ABNORMAL
item,BREAKABLE
join,COMBINE
ketchup,RELISH
klutz,GRACEFUL
lake,OTTER
lawn,GRASS
ledge,CLIFF
let,PERMIT
lightning,STORM
log,WOOD
lots,TON
magazine,NEWSSTAND
manners,DECENCY
maybe,UNSURE
messy,CARELESS
minute,SECOND
mom,GRANDPARENTS
motel,ROACH
movie,TWISTER
name,DESIGNER
negative,NOT
newton,GRAVITY
note,LETTER
obsession,LUST
okay,STABLE
order,DISORDER
oyster,PEARL
park,AVENUE
pavement,DRIVEWAY
pepsi,SODA
picket,STRIKE
place,PEOPLE
plead,BEGGAR
polish,NAIL
precise,ACCURATE
print,NEWSPAPER
protection,SEATBELT
puzzle,STUMP
race,BIAS
real,IDEAL
relationship,FAITHFUL
rhyme,RAP
river,ALLIGATOR
roses,BUD
run,GALLOP
sandwich,TUNA
scary,GRIZZLY
second,SPLIT
senate,LEGISLATURE
shame,PITY
shine,NEW
short,SLEEVE
silk,SATAN
ski,SNOW
slow,HURRY
smudge,BLOT
soft,CARESS
sour,TASTE
spice,PARSLEY
spot,SPOTLESS
stairs,STAIRWAY
steak,VEAL
stop,WARNING
strawberry,FESTIVAL
study,DESK
summary,PLOT
swamp,LAGOON
table,SEAT
tart,RASPBERRY
tears,GRIEF
tent,REVIVAL
thing,SOME
thunder,RAIN
tired,DROWSY
tool,CLAMP
trailer,HITCH
trouble,DIFFICULTY
two,TERRIBLE
unusual,ODD
vegetable,CABBAGE
volcano,INFERNO
war,HISTORY
weather,RAINY
wet,LIQUID
whole,PART
wine,VINE
words,GRAMMAR
writer,EDITOR
yours,FAULT
accept,FAMOUS
add,LEAF
age,PROFESSOR
alone,SUPER
angel,CLIFF
anxiety,CEMENT
argument,BAND
ashtray,STORM
attic,SCHEME
baby,INSIDE
balloon,HISTORY
bass,METICULOUS
beat,INTERVIEW
beginner,CRUST
best,FRAGILE
bitch,TURNIP
blush,GRAMMAR
boring,DESIGNER
bra,PUMP
brick,HEADBAND
buffalo,AROUND
butter,PRONOUN
calm,HEAVY
car,DISHONEST
cash,THROAT
cereal,REARRANGE
cheat,ERASER
china,SCALES
circus,AWESOME
climb,CHISEL
club,DISTURB
cologne,UNCOMMON
con,CASUAL
construction,THIRSTY
couch,POSSESS
cracker,TOMORROW
crooked,APPEAL
cute,ELEPHANT
dark,SEE
decision,PERIOD
desert,FOND
dill,WOOD
disagreement,SEAM
do,DOORWAY
don't,MULTIPLY
drip,SWATTER
dull,REMEMBER
easy,HEALTHY
elevator,VIOLENT
ending,BAKER
even,SHELF
expensive,RESEARCH
fad,CLEVER
fantasy,PROTECT
feet,SPELL
finger,COMEDY
flag,BATH
fly,COWBOY
foreign,OWNER
fox,LESS
frightened,NEIGHBORHOOD
future,PLANE
general,SOON
give,BUMPS
gone,FEDERAL
graph,SCOOP
ground,SOAP
gun,GRANT
happy,BOIL
healthy,ROCKET
her,SPILL
hitchhike,DAMAGE
honor,METER
hours,WORD
hurry,WAY
illegal,MILLION
innocent,LEGS
itch,BOOTS
jogger,ENVY
keeper,BLUFF
kitchen,ADVISE
lady,SOUR
law,SUGAR
leaves,ENVIRONMENT
lesson,STITCH
light,ADJOURN
lock,BANK
lot,CELLO
mad,SOOT
man,RESTAURANT
math,ACHIEVE
men,SUBTRACT
minus,WORST
mold,SEMESTER
most,FRUSTRATION
movement,CHIPS
naked,TEAM
needle,KITTEN
newspaper,SECTION
not,LUST
object,LIT
oil,LIGHTHEADED
orange,SHADE
oxygen,ROCKS
parent,ATTRACTIVE
patient,PRIDE
pepper,THIGH
pick,FAITH
place,SOUTHERN
plead,SEVEN
polish,BEGGAR
precise,EXTENSION
print,AUTHORITY
protection,EARLY
puzzle,CONCEPT
race,OCCUPATION
real,COLLECT
relationship,LUNG
rhyme,SHEETS
river,GRAB
roses,MODERN
run,THIN
sandwich,LAGOON
scary,DOMINANT
second,BURGLAR
senate,HEALTH
shame,THIMBLE
shine,NAUSEA
short,NICKEL
silk,BACKWARD
ski,CLEAR
slow,EMPATHY
smudge,HARM
soft,MEDIUM
sour,REMORSE
spice,MAT
spot,INTERIOR
stairs,DELIVER
steak,LETTER
stop,PENNY
strawberry,TITLE
study,WAKE
summary,MARRIAGE
swamp,DRUGS
table,DENSE
tart,RACK
tears,FORGIVE
tent,SALESMAN
thing,LOYAL
thunder,ADDITION
tired,INCLINE
tool,CLUB
trailer,SURGEON
true,DUPLICATE
ugly,INLET
up,LOSER
vegetables,HOTTER
vomit,CITY
warm,OBTAIN
weave,FESTIVAL
whale,APPEAR
why,COMMUNICATION
winner,PAPERCLIP
work,CURIOSITY
writing,PRICE
zero,FOOL
