target,prime
washer,LEFT
wedding,LEGEND
wheat,ETIQUETTE
wife,CENTS
wire,TREND
workout,EFFORT
yard,OWN
zoo,CRISP
achieve,STRIVE
adventure,CONQUEST
alcohol,BARTENDER
am,BECOME
ankle,WRIST
apology,EXCUSE
army,FORT
ass,WIPE
average,ESTIMATE
bacon,PORK
bargain,VALUE
beach,SECLUDED
bee,WASP
belief,CONCEPT
big,TREES
blanket,PILLOW
bomb,NUCLEAR
bow,VIOLIN
brave,SOLDIER
broken,RIBS
building,COMPLEX
cabin,LOG
cancer,LUNG
careful,TACTFUL
cats,BIRDS
chalk,BOARD
chest,BREAST
choose,PREFER
clay,CRAFTS
closed,CURTAINS
code,ETHICS
comment,INSULT
condom,LUBRICATE
cool,AWESOME
court,ACCUSE
crayon,CHALK
cry,SPANK
dam,FLOOD
days,TIMES
defense,TACKLE
devil,HELL
direct,POINT
disgusting,CRUDE
doll,TOY
down,TUMBLE
drop,SPILL
duty,RESPONSIBILITY
egypt,CAMEL
emotion,EXPRESSION
english,COMMA
example,INSTANCE
explosion,POPULATION
fair,JUSTICE
fast,HUSTLE
fiction,FAIRYTALE
first,MAIN
floor,BOTTOM
follower,LEADERSHIP
forgive,MISTAKE
frankenstein,DRACULA
fudge,VANILLA
gander,GEESE
ghost,FRIGHT
gloves,BOXER
government,TAX
great,BRAVADO
guard,PALACE
halloween,PUMPKIN
hate,GREED
heaven,SKY
higher,EDUCATION
holy,BIBLE
hose,STOCKING
human,RACE
ice,BLENDER
increase,MULTIPLY
iron,WRINKLE
jane,DOE
judge,EVALUATE
kids,PLAYING
knight,SWORD
language,SIGN
layer,BRICK
legend,MYTHOLOGY
lettuce,ICEBERG
lion,COUGAR
look,PERCEIVE
loving,GENTLE
mail,PACKAGE
marker,CHANNEL
mean,IGNORE
mile,YARD
mistake,APOLOGY
monkey,WRENCH
motorcycle,HARLEY
murder,ATTEMPT
navy,OFFICER
nervous,INTERVIEW
no,HAIRCUT
novice,EXPERT
octopus,EIGHT
once,ANNUAL
out,DINE
paint,PORTRAY
parts,SPARE
peak,PIKE
period,SENTENCE
pie,BLUEBERRY
plane,LUGGAGE
plus,ADDITION
pool,ALGAE
president,VICE
private,DETECTIVE
puke,GAG
quart,GALLON
rare,MEDIUM
record,TAPE
religion,CHURCH
rich,MILLION
rock,MINERAL
rough,BULLY
safe,DANGEROUS
sauce,MILD
science,SCIENTIST
secure,PROTECT
service,CUSTOMER
shark,LOAN
shock,SURPRISE
shovel,SCOOP
simple,COMPLICATED
skinny,SLENDER
small,THIN
sneeze,FLU
song,CHORUS
spaghetti,AROMA
spinach,BROCCOLI
square,BOUILLON
star,METEORITE
stick,ATTACH
storm,TROPICAL
strength,FORCE
subject,OBJECT
Sunday,PALM
sweet,GOODNESS
take,POSSESS
tax,PROPERTY
television,SET
thanks,COMPLIMENT
thirsty,OASIS
tie,STRING
toast,MUFFIN
top,MOUNTAIN
trash,STUFF
try,DILIGENCE
unclear,OBSCURE
usa,PRESIDENT
verb,ACTION
wait,LINE
washer,FLUID
wedding,MARRIAGE
wheat,RYE
wife,MATE
wire,CAGE
workout,WEIGHTS
yard,METER
zone,FORBIDDEN
ache,GOO
adolescent,CALL
airplane,BEDROOM
always,GREATEST
animal,DEPOSIT
ape,FOE
arms,DARKNESS
asleep,PROCEDURE
auto,CHEAP
backward,OBJECT
bar,SWIFT
bathroom,SWORD
bedroom,FLING
being,GEOMETRY
bicycle,OLYMPICS
blame,GATHER
body,SAUCE
bother,PERCEIVE
branch,CHALKBOARD
broccoli,NOTEBOOK
builder,WATERFALL
cabbage,DECISION
can,EXPENSE
care,BAIT
catholic,STUDY
chair,ANISETTE
chemistry,STRIPES
choice,RICH
class,NAPKIN
close,DENT
cocaine,FILTHY
comfortable,PRAISE
concrete,TWISTER
cook,NUMBERS
course,SOLO
crash,HEEL
crunchy,LAWN
daily,AX
day,IRRITATE
defeat,SLUG
destruction,COMPLETE
dinosaur,POOR
disease,REMOVER
dog,ROACH
doughnut,ILL
driving,DOUGH
dust,MISSILE
eggs,MEND
emergency,WASTE
england,BANKER
exact,WEAR
explode,LUGGAGE
faint,METHODIST
fashion,COMMAND
few,INVALID
fire,PIN
float,ATTEMPT
folder,SPHINX
forever,HANDBAG
france,BRITANNICA
fruit,SNOW
game,ICEBERG
get,HARE
glory,INFLUENCE
goose,SOLDIER
grave,HAYSTACK
growth,ATTIC
hall,GLASSES
hat,INDIAN
heat,FLORIDA
high,NURSE
hole,BASE
horse,EIGHT
hula,HAIR
hypnotize,SUITCASE
in,CRAFT
insurance,WHEEL
jail,FRIGID
journey,UNDERSTANDING
kidnap,DIFFERENCE
knife,ESSENCE
land,HAIRCUT
lawyer,CENTRAL
leg,APPENDAGE
letters,COMPASSION
line,CREAM
long,THROUGH
love,TOUR
maid,GIVING
map,DECENCY
me,PATIENT
middle,HARMONY
mist,APPLICATION
monk,STIMULUS
motion,INSTRUCT
multiply,PRODUCER
nature,BREAK
nephew,CAPTAIN
night,SYNAGOGUE
novel,CURVED
ocean,SALUTE
on,TACKLE
orgasm,SNACK
pain,SCRAMBLED
partner,PLANTS
peach,LINE
perfume,MYTHOLOGY
picture,FLICK
plane,WATCH
plus,FOOLISH
pool,STORE
president,AIM
private,UNTRUTHFUL
puke,UMPIRE
quart,RAP
rare,BULLOCK
record,TALENT
religion,CREATURE
rich,ASIA
rock,CHEERLEADER
rough,SELL
safe,CHARGE
sauce,STONED
science,MOVE
secure,SCHOLARSHIP
service,BUZZ
shark,BOUILLON
shock,EVIL
shovel,COLT
simple,TRUCE
skinny,FANTASTIC
small,RIOT
sneeze,NEGOTIATION
song,BROWN
spaghetti,GAVEL
spinach,PLUG
square,SHORTS
star,EYE
stick,PLAYER
storm,CURSE
strength,DEPEND
subject,REVIVAL
sunday,STICK
sweet,PHYSICIAN
take,PALM
tax,NUN
television,FANGS
thanks,WHY
thirsty,READY
tie,STEEPLE
toast,LEAVES
top,BRAVE
treat,PROUD
tuesday,SOMETHING
uncommon,MAIN
vacation,UNDECIDED
view,OUTGOING
waiter,CREATION
washington,POLLUTION
wednesday,NEEDY
wheelchair,PHANTOM
wild,FEEBLE
wolf,COAL
world,SOFTBALL
year,PETROLEUM
zoo,BOTTLE
