target,prime
slide,PLAYGROUND
smile,BEAM
society,ECONOMY
sorry,EMPATHY
specific,DISTINCT
spoon,STIR
stage,PLATFORM
states,SOUTHERN
sting,HORNET
strange,BEHAVIOR
stripe,SOLID
success,ACHIEVEMENT
supper,DINER
sympathy,COMPASSION
tan,PALE
teacher,SUPERVISOR
ten,TOES
there,PRESENCE
three,THIRD
tile,ROOF
tomato,SQUASH
town,RURAL
trick,DECEIT
turn,OVER
unemployment,EMPLOYMENT
values,MORAL
virgin,INNOCENT
wall,CEILING
way,STAIR
weird,UNCOMMON
whine,FUSS
win,GAME
wonder,AWE
worst,GREATEST
yes,APPROVAL
abnormal,SOCKET
active,VIRTUE
after,GAUGE
all,APE
american,FLUSH
annually,MASS
april,FORT
arrow,PARADE
atom,FURRY
aware,ASTEROID
bake,SOUTH
basic,DISCREET
bear,NERVE
before,DUSK
below,STAMP
biology,BALLOT
blood,DAILY
boots,FEATURE
boy,IMPOSSIBLE
break,MASON
brush,ASCENT
bush,DISGUISE
cake,YARD
cans,CAKE
carrot,PLAYING
cave,BLOCKS
chaos,PUSHY
chief,TEACHER
church,MOLTEN
clear,SORORITY
clothes,LEADERSHIP
cold,SKY
compact,CRITERION
confusion,REMIND
coral,MEASURE
cowboy,MEDICINE
creator,FIREPLACE
cure,ENTER
danger,STAND
death,DEPARTMENT
dependable,VICTIM
dictionary,FACTOR
dirt,DULL
ditch,ATTACK
dolphin,SHEET
dream,TECHNOLOGY
drunk,CONDITION
earth,BLOT
electric,ADVENTURE
empty,BLUBBER
enter,EMPIRE
exercise,VEHICLE
eye,MOOSE
fall,HUSTLE
fear,PRESENCE
fighter,DOVE
fist,TUMBLE
flower,GAME
football,COVERED
forward,VODKA
friend,CONSEQUENCE
fungus,BLOOM
gas,UNIQUE
girl,RESPONSE
goal,CATASTROPHE
grand,STAIR
grill,DEAF
guilty,BUG
hammer,SAVIOR
head,TROMBONE
hello,MALE
hint,BASEBALL
homework,MUCH
hot,SET
hungry,FIND
idiot,WED
indoors,SIGHT
island,STEAL
jesus,INSTANCE
jungle,CHAPEL
kind,BLINDS
knowledge,BREATHE
late,JUNIOR
learn,CHOP
lend,FOLLOW
lid,PUBLISHER
live,VIRGIN
lose,SHOP
luggage,BROKEN
maker,AVERAGE
marry,FOREHEAD
medicine,SWAMP
mine,CHANNEL
mixture,MATCH
moon,DESCENT
mouse,HONESTY
music,OFFEND
neck,CEMETERY
never,BIAS
noodles,RELEASE
nun,EVALUATE
offense,THERAPY
open,PLASTIC
owl,NAME
pancakes,MICROPHONE
past,AMOUNT
pencil,SWEAR
persuade,REBEL
pill,NAUSEOUS
plastic,VETERAN
poison,FLU
potato,BUDGET
priest,CLOSE
proof,BLUES
purpose,SPEND
quick,COURAGE
reaction,EMPLOYMENT
referee,LAUNDRY
reptile,COUSIN
rights,JEALOUSY
room,EXIST
rule,MEMORY
same,IDIOT
say,BEAM
sea,FOUNTAIN
self,OPTIMISTIC
sexy,CRAFTS
sheep,ENTRY
shoot,DIFFICULTY
sick,REPUBLICAN
sit,BEWARE
slide,MINK
smile,DILIGENCE
society,TEND
sorry,JEWELRY
specific,TERRIBLE
spoon,POINT
stage,BRACES
states,CORK
sting,CRAWL
strange,DUCK
stripe,END
success,HERB
supper,SHAVE
sympathy,BOY
tan,RANGE
teacher,OBNOXIOUS
ten,BIRTH
there,SECURITY
three,SUCK
tile,FRIENDSHIP
tomato,FUNCTION
town,HARLEY
trip,CONSCIENCE
turtle,PAY
unfair,STRAND
vanish,ZEBRA
virtue,ROPE
wander,LEGISLATURE
weak,CUDDLE
welcome,TART
white,CHURCH
wind,MARIJUANA
wood,EWE
wound,LOCATION
you,WHEAT
