target,prime
pavement,HOTEL
pepsi,LEARN
picket,CONFERENCE
place,NOON
plead,MEMBER
polish,DESTINY
precise,TWO
print,OCEAN
protection,STOMACH
puzzle,HUNDRED
race,CUSTARD
real,FAD
relationship,HOOT
rhyme,COWGIRL
river,COWARD
roses,SNOTTY
run,MOW
sandwich,CURIOUS
scary,MIGHT
second,CLOUD
senate,BIKE
shame,HELPER
shine,LOOSE
short,TWIN
silk,CREVICE
ski,KNIFE
slow,WARRIOR
smudge,OPEN
soft,CLARINET
sour,SYMPATHY
spice,KNOCK
spot,ALLEGIANCE
stamp,DRUNK
steal,SURE
storage,BALCONY
stream,SQUID
stupid,MALT
summer,EVIDENCE
swear,FACTORY
tag,KIDNEY
taste,FROWN
teeth,INVENT
terrible,PUKE
think,LATE
thursday,GRAPE
tissue,WRITE
toothbrush,RABBI
train,IMITATE
true,REMARK
ugly,FIGURE
up,INTERRUPT
vegetables,STRESS
vomit,SUBJECT
warm,TABLET
weave,MEASUREMENT
whale,SCOTCH
why,BLANKET
winner,CHART
work,ELECTRON
writing,ELF
zit,SUN
accuse,CONDEMN
adjective,PRONOUN
air,COOL
aluminum,LEAD
angry,IRRITATE
apartment,EVICT
armor,MEDIEVAL
ask,PRAY
australia,UNDER
backpack,HANDBAG
bank,BANKER
bath,SUDS
bed,SOFA
behind,BACK
bible,RELIGIOUS
black,SOOT
boat,GRAVY
boss,CAPTAIN
brain,EINSTEIN
britain,BRITANNICA
build,LUMBER
cab,HAIL
camp,BOOT
cards,GAMBLE
cat,RAT
chain,KEYS
cheese,MELT
chocolate,SPRINKLE
clam,SHELL
clock,SNOOZE
coat,HANGER
come,ARRIVE
concert,STADIUM
control,PEST
country,MAP
crafts,CERAMICS
crowd,RIOT
dagger,DIGGER
date,COUPLE
deer,MOOSE
destroy,CONSTRUCT
dinner,CAFE
disc,COMPUTER
doe,STAG
dots,SPOTS
driver,TRUCK
dusk,EVENING
egg,PROTEIN
embarrass,DEGRADE
energy,ENERGETIC
evil,HARM
explain,JUSTIFY
failure,FLUNK
farm,ROOSTER
fence,BOUNDARY
finished,THROUGH
flirt,FLING
fold,NAPKIN
forest,PATH
frame,GLASSES
front,REAR
gamble,POKER
george,BOY
glasses,SHADE
good,SOMETHING
grass,PASTURE
grow,SHRINK
hair,FOREHEAD
harvest,CROPS
heart,ATTACK
hidden,OBVIOUS
hold,STALL
horn,ANTLER
hug,ARMS
husband,LOYALTY
important,INCOME
instrument,HORN
jacket,SWEATER
joke,AMUSE
key,PIANO
knee,BRUISE
lamb,EWE
lawsuit,LAWYER
left,MARGIN
letter,WORD
like,FANCY
lonely,POOR
loud,MICROPHONE
magic,SPELL
many,MUCH
maze,PATTERN
metal,GRATE
mirror,IMAGE
money,OCCUPATION
mother,BROTHER
mud,STUCK
narrow,STRAIGHT
neighborhood,SUBURB
nice,EVIL
nothing,WORTH
obstacle,IMPEDIMENT
old,VETERAN
organize,REARRANGE
package,DELIVER
part,UNIT
peace,DOVE
perfect,METICULOUS
pickles,BARREL
plain,BUFFALO
pledge,SALUTE
polite,RUDE
prejudice,PRIDE
prison,INMATE
public,PUBLICATION
pyramid,SPHINX
radio,COMMUNICATION
reason,FACTOR
relative,GUEST
ribs,BARBECUE
road,CURVED
rot,ERODE
russia,ENEMY
santa,CHRISTMAS
schedule,CRITERION
secret,FORMULA
sentence,PERIOD
shampoo,HAIR
ship,PORT
shot,SHOOT
silly,FOOLISH
skill,TALENT
slut,VIRGIN
snail,CRAWL
something,SAY
south,MEXICO
spider,BUG
spread,GATHER
stamp,COLLECT
steal,OBTAIN
storage,TRUNK
stream,CANAL
stupid,CLEVER
summer,HOTTER
swear,CURSE
tag,FOLLOW
taste,SAVIOR
teeth,VAMPIRE
terrible,WORST
think,REMEMBER
thursday,WED
tissue,HANDKERCHIEF
toothbrush,HYGIENE
train,TRANSPORTATION
true,LOYAL
ugly,MEAN
up,HUNG
vegetables,SOUP
vomit,NAUSEA
warm,RADIATOR
weave,YARN
whale,BLUBBER
why,CAUSE
winner,VICTORY
work,STUDY
writing,ENGLISH
zero,LESS
account,SCALPEL
addition,VALENTINE
agreement,FANCY
alright,HINGE
anger,EXCHANGE
apart,SODA
arm,DEMOCRACY
asia,ENDLESS
aunt,WOODS
back,TEENAGER
band,SNAKE
bat,FREEZER
beautiful,DIVISION
beginning,IMPEDIMENT
better,VEER
bite,MAJORITY
board,TOP
borrow,IDENTICAL
bracelet,DARK
bride,BELONG
bug,MOWER
butterfly,SON
camera,EXCUSE
card,STADIUM
castle,POSSIBLE
ceremony,VIKING
check,VANILLA
chip,SUPPORT
city,HOUND
clipper,NET
clue,BUSH
color,HANGER
conceited,REMEDY
continent,PREDATOR
cough,DRIVE
crackle,ECSTASY
crops,WITHOUT
dad,NOT
data,GROVE
deep,TIRED
desk,EVICT
dime,SPOTS
disappear,MATURE
doctor,SOAK
door,DUSTPAN
drive,HORNET
dumb,COURAGEOUS
eat,THERMOMETER
eleven,HOUSE
enemy,BACK
evidence,ROYAL
experiment,UPSTAIRS
fail,CRITICIZE
far,MONUMENT
female,WRAP
finish,GOD
flakes,EXISTENCE
fog,GAG
foresight,CRUNCHY
fragile,ASHAMED
frog,ROUTINE
gain,ADOLESCENT
geometry,BUS
glass,DRACULA
goo,TRANSPARENT
grasp,SPREAD
group,VAULT
habit,BOOT
hard,INTEGRATE
hear,WALKWAY
here,TRANQUIL
hog,PASTURE
hoop,KNOT
house,SLIME
hurt,VIOLIN
immature,SHIVER
insane,CAVITY
item,LET
join,WORTH
ketchup,YOUNG
klutz,DISCOMFORT
lake,COOL
lawn,LAWSUIT
ledge,RESCUE
let,STUMBLE
lightning,EXCELLENT
log,REPLY
lots,ELEVATOR
magazine,SHOVEL
manners,ERODE
maybe,FLAP
messy,TODAY
minute,CABOOSE
mom,ANALYSIS
motel,SHORE
movie,EARTHQUAKE
name,SHE
negative,OVERPOWER
newton,BULLET
note,BOLD
obsession,INTERESTING
okay,SPLINTER
order,LEAD
oyster,ACHIEVEMENT
park,BOTTOM
pavement,APPROVAL
pepsi,CAREER
picket,PHYSICS
plain,PERMIT
pledge,RAINY
polite,BRACELET
prejudice,INNOCENT
prison,FUND
public,MARGIN
pyramid,DISSOLVE
radio,CROWD
reason,IDENTITY
relative,NOMAD
ribs,SWIMMER
road,SCRUB
rot,PACK
russia,BULLY
santa,PEROXIDE
schedule,EYES
secret,NONSENSE
sentence,HARP
shampoo,BONE
ship,EXCITED
shot,TUNA
silly,ANOTHER
skill,RESERVATION
slut,SILENT
snail,OUTRAGEOUS
something,TACTFUL
south,UNUSUAL
spider,LOOK
spread,SPANK
stamp,FLOOD
steal,PLAQUE
storage,DENY
stream,ANNUAL
stupid,HOW
summer,FORCE
swear,PICKLE
tag,FAT
taste,ARMS
teeth,SQUEAL
terrible,FOLD
think,AVENUE
thursday,CAUSE
tissue,EAGER
toothbrush,CARNIVAL
trait,TOWEL
truth,SIGN
uncle,IVORY
upstairs,FORMULA
vein,GENTLE
wagon,MEAN
wash,ODDS
web,SEARCH
what,PENDULUM
wide,CAGE
winter,RINSE
worker,BRUISE
wrong,COMFORTABLE
zit,AWKWARD
