target,prime
candle,SONNET
caring,DIGNITY
cause,BORING
chance,ARMOR
chew,LOWER
christ,CHUNK
clean,GIGGLE
closing,LENS
coffee,CHAIR
communism,CHICKEN
conference,WALLET
cop,COMPONENTS
cover,CONGRESS
crazy,AHOY
cuddle,RITUAL
dance,MERIT
dead,FLIP
definition,SEASONING
diamond,DEMON
direction,LIBERAL
dish,CAP
dollar,GLORY
drain,SLIDE
drug,LOTS
ear,TARDY
eight,SOCIETY
empire,VARIETY
enlarge,HERE
excited,TWINKLE
extinct,OCTOPUS
faith,MUTTON
fat,POET
field,DISCOURAGE
fish,LACE
flop,ORGANIZE
food,KILLER
fork,ROUGH
fraternity,BOUQUET
full,NONE
garbage,ADVANCE
gift,UNCOOKED
glue,CLAW
grab,SNOT
greed,TOILET
guess,SIMPLE
hamburger,JOURNAL
hay,LEVER
hell,ARENA
hill,WICK
homeless,FAMINE
hostess,HULA
hunger,MOVIE
idea,BENEFIT
indian,HOPE
irritating,EMERGENCY
jelly,STEEP
jungle,DISGRACE
kind,BOXING
knowledge,CONDFIDENCE
later,DISALLOW
leather,CHOCOLATE
length,DISHES
lie,CELEBRATION
load,COMBINATION
loser,TORCH
lunch,WEATHER
male,MOTHER
massage,GREASE
meet,SIX
minimum,JAW
mob,MICROSCOPE
more,RIDICULOUS
mouth,WEAVE
mustache,SALTINE
necklace,HAND
new,BEFORE
normal,MIST
nurse,YEARS
office,ENTERTAINMENT
opening,CENTER
own,DISBELIEVE
pants,SPREE
path,HOLE
penny,VALOR
phone,GORGEOUS
pilot,SMOTHER
plastic,FASTEN
poison,PASSAGE
potato,EXPLOSION
priest,MACHINE
proof,REALIZE
purpose,DECAY
quick,COUNTRY
reaction,EXIT
referee,PRESUME
reptile,JUST
rights,YOUTH
room,USA
rule,SUPERSTITION
same,STUB
say,TURN
sea,FORMAL
self,STAPLER
sexy,PICKLES
sheep,TEN
shoot,POPEYE
sick,SNEAK
sit,VULNERABLE
slide,SCOLD
smile,SHAPE
society,GIN
sorry,EXPLANATION
specific,PHYSIOLOGY
spoon,WEIRD
stage,BULLETIN
station,RIGHTS
stomach,HITCHHIKE
strap,PAN
strong,HEROINE
suffocate,POWERFUL
surgery,BROAD
syrup,TORTOISE
tantrum,ADORABLE
team,HAUL
tennis,CONFLICT
thief,DUNK
throw,KNIGHT
time,AGAINST
tongue,LIME
toy,ROOST
trip,GHOUL
turtle,ITEM
unfair,HAMMOCK
vanish,ACRE
virtue,HIM
wander,TEMPER
weak,PEN
welcome,WAG
white,LAUNCH
wind,STAIRS
wood,SHINGLE
wound,LAB
young,ITCH
abuse,TORTURE
actress,BULLOCK
against,ODDS
allow,GRANT
amuse,FUNNY
ant,INSECT
argue,CRITICIZE
artist,FAMOUS
attempt,FEEBLE
ax,CHOP
ballet,JAZZ
basketball,BASEBALL
beast,ANTELOPE
begin,START
bend,DENT
bit,SCRAP
blue,ADJECTIVE
bored,EXCITED
boys,HUSKY
breathe,OXYGEN
bucket,TUB
busy,DOWNTOWN
call,PAGE
capability,COMPETENCE
cars,FLEET
center,CENTRAL
cheap,EXPENSE
children,BLOCKS
circle,SPIN
climate,TEMPERATURE
clown,BALLOON
college,APPLICATION
computer,ENTER
conservative,REPUBLICAN
cotton,SOFT
crack,WALNUT
criminal,HANDCUFFS
cut,MOWER
daring,BOLD
decide,DECISION
descend,DOWN
different,AWKWARD
disagree,ARGUE
divide,QUOTIENT
donkey,ZEBRA
drink,ALCOHOL
duck,MONGOOSE
east,DIRECTION
elephant,HUSK
end,SUMMARY
erupt,EXPLODE
exit,ESCAPE
face,POWDER
family,HOME
feeling,JEALOUSY
find,HUNT
fix,BROKEN
flute,OBOE
force,INTENSITY
four,FANTASTIC
fright,BEWARE
furniture,ANTIQUE
geek,LOSER
girls,SOFTBALL
gold,OLYMPICS
grape,JELLY
gross,SLUG
gum,CANDY
hands,PRAYER
health,CONDITION
helper,ASSISTANCE
hit,POUNCE
honesty,DECEPTION
hound,GRAY
hurricane,EARTHQUAKE
ill,REMEDY
inhale,INTAKE
italian,SAUSAGE
job,PAYMENT
keep,STORAGE
kiss,ROMANCE
ladder,ROPE
laugh,JOKER
leave,GO
less,SPINE
life,ENJOY
lobster,SHRIMP
lost,MAZE
machine,COPY
mall,PURCHASE
material,FABRIC
meeting,GATHERING
minor,ASIA
modern,ANCIENT
morning,ALARM
move,SWIFT
nail,REMOVER
need,HELP
news,NETWORK
nose,FEATURE
nut,CRUNCHY
often,SOMETIMES
operation,SCALPEL
owner,SLAVE
paper,RESEARCH
patience,VIRTUE
people,REAL
piano,IVORY
pimple,FRECKLE
plate,BOWL
poker,ACE
pound,BEAT
prince,FROG
property,STOLEN
purse,BOOKBAG
quiet,STILL
read,NOVEL
refrigerator,FREEZER
republican,POLITICS
ring,BUZZ
rope,JUMPY
ruler,EMPEROR
sample,PORTION
scare,BRAVERY
search,SEEK
sell,AD
shake,SHIVER
sheets,COVERED
shop,BAGEL
sight,EYES
situation,TENSE
slip,DEPOSIT
smoke,FUMES
socket,PLUG
sound,SONIC
speech,CONVERSATION
sport,WRESTLING
stain,MILDEW
station,TRAIN
stomach,NAUSEOUS
strap,BELT
strong,MUSCLE
suffocate,DROWN
surgery,SURGEON
syrup,SAP
tantrum,FIT
team,CREW
tennis,PLAYER
thief,ROB
throw,DART
time,THOUGHT
tongue,LIP
toy,WAGON
trip,STUMBLE
turtle,HARE
unfair,UNEQUAL
vanish,DISINTEGRATE
virtue,HONESTY
wander,CONCENTRATE
weak,FRAGILE
welcome,MAT
white,SHEET
wind,TRADE
wood,AX
wound,STITCH
you,BLESS
above,MILDEW
actor,WASTED
again,COP
alligator,CONFESS
amount,DECIDE
answer,BRING
area,DUST
art,MEDIEVAL
attack,LOG
away,OVERVIEW
ball,CRUNCH
basket,FORGET
beard,WEIGHTS
beg,PROCESS
belt,BENT
bird,BRAKE
blow,ACID
booze,TREES
boyfriend,BADGE
breakfast,FAULT
bubble,PHONY
business,CUFF
calculate,RUNNING
can't,PRAY
carry,LOYALTY
cell,SNAIL
characteristic,GRAY
child,RULER
cigarette,EINSTEIN
cliff,DECEPTION
cloudy,TRUST
collar,CURTAINS
company,AMATEUR
congress,FRAGRANCE
corn,GOURMET
crab,ATOMIC
crime,REVENGE
curtains,DILEMMA
dangerous,SAILING
decay,FAIRYTALE
dependent,GULL
die,VEAL
dirty,SUDS
dive,DIME
done,LEG
dress,ATHLETE
dry,ESTIMATE
earthquake,WELL
electricity,BURY
encourage,POLITICIAN
environment,BOSS
exhale,GRAVY
eyes,LUBRICATE
false,FORTUNE
feel,BANDANNA
film,STOLEN
five,WAGON
flowers,HUNT
for,PERCH
found,GREED
fries,CONQUEST
funny,HELP
gather,PAPER
girlfriend,PASSIVE
god,DETECTIVE
grandma,PORT
groceries,POLITICS
guitar,BUFFALO
hand,CRISIS
headache,IMPORTANT
help,LOUNGE
hip,NEW
honest,IMPRESSION
hotel,FUNGI
hunter,BAR
ignore,STIR
inferior,LICE
it,ARGUE
jewish,ACROBAT
juvenile,JURY
king,SIP
lace,SPINE
later,PAGE
leather,CONVERSATION
length,ACE
lie,SPRINKLE
load,FIT
loser,VENT
lunch,DATA
male,BRUSH
massage,GOAT
meet,DOE
minimum,FABLE
mob,ADDICT
more,CONVICT
mouth,COMPLEX
mustache,PAYMENT
necklace,MUFFIN
new,SUMMARY
normal,BUILDING
nurse,BIRDS
office,RECOGNITION
opening,REFLECT
own,WRESTLING
pants,ACCUSE
path,SMOOTH
penny,CHAMPION
phone,HUSK
pimple,KEEP
plate,IRREGULAR
poker,ADDICTION
pound,GRIEF
prince,PAIN
property,MONGOOSE
purse,GRIND
quiet,EXPRESS
read,JELLO
refrigerator,YARN
republican,STOOL
ring,COUCH
rope,GRANDPARENTS
ruler,LITERATURE
sample,TAX
scare,CACTUS
search,BECOME
sell,SUSPECT
shake,SIBLING
sheets,JUVENILE
shop,HUNGRY
sight,ANCIENT
situation,MOUNTAIN
slip,PHYSICAL
smoke,LANE
socket,PATH
sound,PLUMBER
speech,DONE
sport,WINDING
stain,WAGE
station,HAWAII
stomach,THOUGHT
strap,NETWORK
strong,EXECUTIVE
suffocate,BLUNT
surgery,DRIVEWAY
syrup,RESPOND
tantrum,CORNBEEF
team,COMPLICATED
tennis,EXAM
thief,BLUEBERRY
throw,RESPONSIBLE
time,DISORDER
tongue,BARTENDER
toy,MORTGAGE
trophy,WRENCH
twelve,COMEDIAN
unknown,ABSTRACT
vault,FIX
vision,CONCENTRATE
want,BLESS
wear,CHEAT
west,PERSONALITY
who,WALNUT
window,FINANCIAL
wool,SPARE
write,OXYGEN
young,EXTINCT
