target,prime
secret,HIDDEN
sentence,PHRASE
shampoo,CONDITIONER
ship,AHOY
shot,SLING
silly,RIDICULOUS
skill,MASTERY
slut,TRAMP
snail,ESCARGOT
something,NOTHING
south,NORTH
spider,COBWEB
spread,DISPERSE
stamp,POSTAGE
steal,THIEF
storage,WAREHOUSE
stream,BROOK
stupid,GULLIBLE
summer,SPRING
swear,CUSS
tag,LABEL
taste,SMELL
teeth,GUMS
terrible,HORRIBLE
think,RATIONALIZE
thursday,WEDNESDAY
tissue,KLEENEX
toothbrush,TOOTHPASTE
train,STATION
true,FALSE
ugly,WART
up,GROWN
vegetables,TOMATO
vomit,PUKE
warm,BLANKET
weave,BASKET
whale,MAMMAL
why,BECAUSE
winner,CONTEST
work,SCHOOL
writing,CURSIVE
zero,NONE
account,NOW
addition,INSTRUCTIONS
agreement,PRO
alright,HOPELESS
anger,STANDARD
apart,REEF
arm,SURROUNDING
asia,QUARTER
aunt,SAPPHIRE
back,CONTEST
band,SHEARS
bat,CONTRACT
beautiful,SNEAKY
beginning,EAST
better,CRICKET
bite,SIDE
board,BRITTLE
borrow,NICOTINE
bracelet,AGENCY
bride,GULLY
bug,BEEF
butterfly,LASTING
camera,MAXIMUM
card,PINT
castle,BEE
ceremony,CAREFUL
check,PRESTIGE
chip,LEAN
city,VOMIT
clipper,SHOW
clue,RAISIN
color,ACTOR
conceited,RUSSIA
continent,SERVER
cough,PASTRY
crackle,MENTAL
crops,MOONLIGHT
dad,SYNOPSIS
data,PRACTICE
deep,VAIN
desk,SUITE
dime,BLUR
disappear,ANNOYING
doctor,INDIRECT
door,BET
drive,IMPACT
dumb,EXPERIENCE
eat,MYSTERY
eleven,BEANS
enemy,SATIN
evidence,CORRIDOR
experiment,GEORGE
fail,SCUBA
far,FAKE
female,GUARDIAN
finish,TOUCH
flakes,CLAM
fog,WEEKLY
foresight,BACTERIA
fragile,SALAD
frog,INNOCENCE
gain,BUCK
geometry,CAB
glass,GROUNDS
goo,ANXIETY
grasp,VIOLENCE
group,EFFECT
hair,BLOUSE
harvest,UNNATURAL
heart,HULL
hidden,COYOTE
hold,IRRITATING
horn,CUP
hug,LEVEL
husband,GULLIBLE
important,CLUMSY
instrument,BROIL
jacket,WINNER
journey,COLLEGE
kidnap,FOIL
knife,JOG
land,COPPER
layer,BEAN
legend,DETERIORATE
lettuce,ALWAYS
lion,ADD
look,CHARACTERISTIC
loving,REGION
mail,THRESHOLD
marker,BASHFUL
mean,IGLOO
mile,BELIEVE
mistake,WART
monkey,CHOOSE
motorcycle,LATCH
murder,AIR
navy,PRINCE
nervous,MASTERY
no,HUGE
novice,ROD
octopus,BIT
once,ANGLE
out,TOMATO
paint,PRESENTATION
parts,FOX
peak,EXCEPTIONAL
period,HUSBAND
pie,ACT
plane,INHALE
plus,WHISTLE
pool,KEYBOARD
president,DEBATE
private,BLAME
puke,HANDICAP
quart,FINISHED
rare,NEEDLE
record,OUTCOME
religion,LION
rich,UNLOAD
rock,SABER
rough,SLANDER
safe,FOG
sauce,SHALLOW
science,APATHY
secure,LICK
service,JEWEL
shark,LINEN
shock,GULP
shovel,FALL
simple,LANDSCAPE
skinny,TONIC
small,LEASE
sneeze,YOLK
song,WEED
spaghetti,JAR
spinach,CARTON
square,NEUTRON
stare,TRUSTWORTHY
sticky,HOLD
story,LABEL
stress,WINGS
submarine,FRIES
sunset,AFTER
swing,ORDINARY
talk,CHARACTER
taxi,BUSY
tell,KID
thaw,PROPRIETOR
thought,FLEX
tiger,PILE
toe,HERO
tornado,BUGLE
treat,TWIST
tuesday,PATIENCE
uncommon,COMPULSION
vacation,SMEAR
view,FOUNDATION
waiter,DAD
washington,CORAL
wednesday,TAG
wheelchair,LEGION
wild,FLAKE
wolf,CHARM
world,CLOTHES
year,BISON
abandon,MAROON
act,PRETEND
advice,ADVISE
alert,NOTIFY
ambulance,RESCUE
annoy,SALESMAN
appear,VANISH
around,WRAP
assistant,DEPUTY
awake,CONSCIENCE
bad,GUILT
base,DATA
beam,SUPPORT
beef,CORNBEEF
believe,DOUBT
bike,RACK
bleach,STARCH
bone,BURY
box,SQUARE
bravery,COURAGE
brother,SIBLING
bum,FILTHY
cabinet,MEDICINE
candle,BIRTHDAY
caring,GIVING
cause,PICKET
chance,LAST
chew,MUNCH
christ,LORD
clean,DUSTPAN
closing,WINDING
coffee,SUGAR
communism,DEMOCRACY
conference,PRESS
cop,BADGE
cover,TOP
crazy,SILLY
cuddle,CRADLE
dance,MUSIC
dead,HEALTHY
definition,TERM
diamond,COAL
direction,CLOCKWISE
dish,RINSE
dollar,POUND
drain,PLUMBER
drug,ACID
ear,EYE
eight,SECTION
empire,DYNASTY
enlarge,INCREASE
excited,FUN
extinct,EXIST
faith,TRUST
fat,WEIGH
field,FOOTBALL
fish,FOND
flop,FLAP
food,VEGETABLE
fork,SPATULA
fraternity,CLUB
full,HUNGRY
garbage,WASTED
gift,DONATION
glue,STICKER
grab,RELEASE
greed,ENVY
guess,THEOREM
hallway,DOORWAY
have,RETAIN
heavy,LIFT
highway,LANE
home,LOCATION
hospital,VISITOR
hundred,PERCENTAGE
id,IDENTITY
independent,DEPEND
irregular,UNUSUAL
jeans,FADE
juice,BEETLE
kill,REVENGE
knit,SEW
large,VOCABULARY
leader,CHIEF
legs,SHORTS
liar,POLITICIAN
listen,RECORD
looks,APPEAL
low,MINIMUM
major,IMPORTANT
market,FLEA
meaning,ESSENCE
milk,CREAM
misunderstand,UNDERSTAND
monster,PHANTOM
mountain,ROCKS
murderer,VICTIM
near,CLOSE
neuron,NERVE
noise,HEARING
now,DUE
odd,UNIQUE
one,MOMENT
outdoors,NATURE
painting,DRAWING
party,CARNIVAL
peanut,ELEPHANT
person,CLERK
piece,SLIVER
planet,COMET
poem,POETRY
poor,FORTUNE
pretty,LOOKS
problem,FINANCIAL
pull,MULE
queen,DRAGON
rat,MOUSSE
red,CODE
remember,REMIND
ride,SADDLE
rocket,MISSILE
round,CHECKERS
salad,POTATO
saucer,PLATE
scientist,EXPERIMENT
security,GUARD
seven,TOUCHDOWN
sharp,PIN
shoe,BOX
show,APPEAR
sing,HARMONY
sky,ROCKET
smart,TEACHER
snob,CHEERLEADER
soprano,TENOR
span,BRIDGE
spine,CACTUS
squirrel,RACCOON
stare,WATCH
sticky,GOO
story,FAIRY
stress,CRISIS
submarine,VESSEL
sunset,DUSK
swing,HINGE
talk,RUMOR
taxi,BUS
tell,COMMAND
thaw,FREEZE
thought,ABSTRACT
tiger,LEOPARD
toe,HEEL
tornado,CATASTROPHE
treat,TASTY
tuesday,TODAY
uncommon,RARE
vacation,RESORT
view,OPTIMISTIC
waiter,CHEF
washington,MONUMENT
wednesday,TOMORROW
wheelchair,INVALID
wild,REBEL
wolf,FANGS
world,AROUND
year,WEEK
zoo,GIRAFFE
achieve,TASTE
adventure,INTAKE
alcohol,ONCE
am,ALARM
ankle,TERM
apology,LOOKS
army,BELL
ass,CROSS
average,IMAGE
bacon,METEORITE
bargain,FRAY
beach,TIGER
bee,DIRECTIONS
belief,PORK
big,INSTANT
blanket,VICTORY
bomb,SQUARE
bow,FLEA
brave,COMPLIMENT
broken,NEPHEW
building,WHAT
cabin,UNDER
cancer,TENOR
careful,CAFE
cats,SPINACH
chalk,ORCHID
chest,PERSONAL
choose,SMASH
clay,ENJOY
closed,MOMENT
code,SYMPHONY
comment,SCENT
condom,ENGAGE
cool,PRECIPICE
court,VAMPIRE
crayon,MEET
cry,ATTACH
dam,HOURS
days,STATISTICS
defense,PLUTO
devil,ALMANAC
direct,WEDDING
disgusting,MONARCH
doll,BUTTON
down,COMPETENCE
drop,BELLY
duty,EMPTY
egypt,GALLOP
emotion,STORAGE
english,NOTIFY
example,ERUPT
explosion,BRANDY
fair,REVOLUTION
fast,MARINES
fiction,STEAK
first,POKER
floor,WEB
follower,REFRAIN
forgive,STROKE
frankenstein,SIREN
fudge,VESSEL
gander,BAT
ghost,OTTER
gloves,LAWYER
government,TOW
great,ADVERTISEMENT
guard,UNDERGROUND
halloween,WILLING
hate,STOPPER
heaven,WIND
higher,PRETEND
holy,KIDNAP
hose,MEDIA
human,CATCH
ice,BARRIER
increase,UNSURE
iron,GLANDS
jane,MOTOR
judge,REPLACE
kids,LASH
knight,STY
language,WRIST
layer,TILL
legend,BALLOON
lettuce,STEAM
lion,VASELINE
look,CRITICAL
loving,OPTION
mail,ARRIVE
marker,PLEDGE
mean,WORSHIP
mile,SCRAP
mistake,FRAIL
monkey,PORTION
motorcycle,NUT
murder,CARBON
navy,INCREASE
nervous,RYE
no,FLOUR
novice,NECK
octopus,PRAYER
once,DINE
out,REAR
paint,SOME
parts,VINE
peak,BRAVADO
period,PADDLE
pie,BEETLE
planet,AUTHOR
poem,FUN
poor,COMPUTER
pretty,SERIOUS
problem,METAL
pull,CUPBOARD
queen,BREAKFAST
rat,HELL
red,CEILING
remember,COUGAR
ride,GUILT
rocket,PIT
round,PERCENTAGE
salad,PILLOW
saucer,IMMEDIATE
scientist,TRUNK
security,GEOLOGY
seven,FADE
sharp,CALORIES
shoe,EVACUATE
show,GARLIC
sing,STRING
sky,CHRISTMAS
smart,SLICE
snob,GRIZZLY
soprano,RING
span,PUBLICATION
spine,REAL
squirrel,TOES
stare,INSULT
sticky,ALCOHOL
story,IGNORE
stress,CRADLE
submarine,SEVERAL
sunset,GATHERING
swing,LICENSE
talk,HOME
taxi,GRAPH
tell,CUE
thaw,QUICK
thought,SENSITIVE
tiger,PLUSH
toe,JUICE
tornado,LUMBER
tree,NATION
tumble,SUPPOSE
under,FRAUD
valuable,PITY
vine,EXPRESSION
walk,CRAVE
watch,WASP
weekend,PLUM
when,SALES
willing,MUSIC
woman,TEARS
worm,ANARCHY
yell,BIBLE
