target,prime
onion,KINETIC
oven,NAG
pan,EXCISE
pass,MICE
pen,FRIENDLINESS
personality,FLYING
pig,HYPER
planets,INITIAL
poetry,TULIP
positive,SMELL
preview,MONEY
prom,EXERCISE
punishment,DIAL
question,CULTURE
rattle,DIAMETER
reef,SMOKY
rent,LOOSEN
ridiculous,EARNESTNESS
rocks,FRENCH
rude,RECYCLE
sale,GRIP
save,GLASS
scissors,AMBULANCE
see,MEN
sew,GRADUATE
shave,EXPENSIVE
shoelace,PARIS
shower,COUNTY
sink,GLANCE
slave,DEER
smash,BOOTH
snow,CHECKING
sorority,UMBRELLA
spanish,GROOM
spit,ENGLAND
stack,SERVICE
state,SAINT
still,BEAUTIFUL
straight,SQUAD
string,NOTICE
succeed,THANKS
superman,PASTE
sympathetic,SLACKS
tall,SUPERIOR
teach,ILLNESS
temple,CLOAK
theory,MISS
thread,RENT
tighten,RAFT
together,PRICKLY
towel,ALL
trees,TELEVISION
tupperware,IMPLODE
understand,UPDATE
value,OLD
violin,INTESTINE
walkway,MAGGOT
water,RELIABLE
weight,FIG
where,GROSS
wimp,CIRCLE
women,SUFFOCATE
worry,MCDONALD'S
yellow,COZY
abnormal,IRREGULAR
active,PASSIVE
after,BEYOND
all,TOTAL
american,REVOLUTION
annually,MONTHLY
april,FOOL
arrow,DIRECTIONS
atom,CARBON
aware,CONSCIOUS
bake,CAKE
basic,EXTINCT
bear,ANIMAL
before,FORESIGHT
below,DESCENT
biology,FUNGI
blood,HOUND
boots,COWBOY
boy,CUDDLE
break,MEND
brush,BROOM
bush,PLANT
cake,BAKER
cans,CUPBOARD
carrot,TURNIP
cave,CAVITY
chaos,ANARCHY
chief,INDIAN
church,WORSHIP
clear,CRYSTAL
clothes,COSTUME
cold,DARK
compact,DENSE
confusion,MASS
coral,CAPE
cowboy,RIDER
creator,GOD
cure,DISEASE
danger,MOTORCYCLE
death,COFFIN
dependable,RESPONSIBLE
dictionary,ANISETTE
dirt,FILL
ditch,GROVE
dolphin,FIN
dream,POSSIBLE
drunk,STONED
earth,MATTER
electric,CHARGE
empty,WITHOUT
enter,ENTRY
exercise,HEADBAND
eye,LOOK
fall,STAND
fear,SCREAM
fighter,LOVER
fist,GRASP
flower,LEAF
football,LEAGUE
forward,DIRECT
friend,FOE
fungus,MOSS
gas,STEAM
girl,BRACELET
goal,CAREER
grand,BIG
grill,BAR
guilty,CONFESS
hammer,CARPENTER
head,DEPARTMENT
hello,VISIT
hint,CUE
homework,COMPLETE
hot,THERMOMETER
hungry,SANDWICH
idiot,JERK
indoors,INSIDE
island,INLET
jesus,FAITH
jungle,APE
kind,BRAND
knowledge,CURIOSITY
late,SOON
learn,UNIVERSITY
lend,OWE
lid,STOPPER
live,ALIVE
lose,FORGET
luggage,SUITCASE
maker,PRODUCER
marry,WIFE
medicine,EXCEDRIN
mine,BELONG
mixture,COMPOUND
moon,SUNSET
mouse,CLICK
music,UNDERGROUND
neck,GLANDS
never,ONCE
noodles,MACARONI
nun,HABIT
offense,FEDERAL
open,OPTION
owl,WISDOM
pancakes,STACK
past,MEMORY
pencil,PAPER
persuade,INFLUENCE
pill,SEDATIVE
plant,ORCHID
point,STEEPLE
pot,BOIL
pride,RECOGNITION
promise,SWEAR
purple,VIOLENT
questions,UNSOLVED
raw,COOK
reel,FISHING
repeat,CLARIFY
right,VEER
roof,TAR
rug,FRAY
salt,DISSOLVE
saw,SKILL
scratch,BELLY
seek,SEARCH
sex,CHROMOSOMES
she,HER
shoes,CANVAS
shy,SENSITIVE
sister,ANNOY
sleep,MOTEL
smell,SNEAKERS
soap,LAUNDRY
sorrow,REMORSE
speak,REPLY
spoiled,ROTTEN
staff,PERSONNEL
state,CITY
still,SILENT
straight,RULER
string,STRAND
succeed,ACHIEVE
superman,COURAGEOUS
sympathetic,UNDERSTANDING
tall,BUILDING
teach,PROFESSOR
temple,SYNAGOGUE
theory,PROVE
thread,SEAM
tighten,CLENCH
together,ENGAGE
towel,BATH
trees,GRAFT
tupperware,PLASTIC
understand,ACCEPT
value,GOLD
violin,ORCHESTRA
walkway,SIDEWALK
water,UPSTREAM
weight,HEAVY
where,WHAT
wimp,WEAK
women,SORORITY
worry,UNHAPPY
yellow,DANDELION
ability,FISHING
action,TRADE
africa,STRAIGHT
alive,WIFE
america,ICE
annoying,BOXER
apple,TORN
arrogant,COOK
assume,SWEATER
award,CANVAS
bag,ACCOUNT
baseball,ODD
bean,DRAWING
beer,AMUSE
bell,SKI
billy,STUMP
blonde,CERAMICS
book,TENSE
boxer,MATTER
bread,CHINESE
brothers,METEOR
bump,CONDEMN
cactus,JUMPY
candy,BUD
carpet,FIN
cautious,GOODNESS
change,FUNNY
chicken,SOFA
christmas,COUPLE
cleaner,IDEAL
cloth,SHIP
coke,PEST
communist,ENERGETIC
confess,NIGHTGOWN
copy,RACCOON
cow,SHRIMP
create,ALIVE
cup,STRAIN
dancer,KETTLE
deaf,NERVES
deodorant,BELT
diary,ROOF
directions,HUNG
dishes,NATURE
dollars,ROOSTER
draw,FEVER
drugs,RETAIN
early,CORE
elect,BREAST
employer,RIDICULE
enough,CHRISTIAN
excuse,ANTLER
extrovert,EXPLODE
fake,MORAL
father,DECORATION
fight,STALK
fishing,PRINTER
florida,SEW
foot,CHESS
fortune,THEOREM
freedom,SEDATIVE
fun,SLUM
garden,SHELL
gin,RESORT
go,CRANE
graduation,PANTS
green,OBJECTIVE
guilt,PACKAGE
hamburger,MATERIAL
hay,SEEK
hell,CRATER
hill,BIRTHDAY
homeless,TEMPERATURE
hostess,FLEET
hunger,HEAD
idea,ISOLATED
indian,BREAKABLE
irritating,EXPLAIN
jelly,GIRAFFE
jump,LOUD
killer,PALACE
know,WOOL
last,INFERNO
leaf,DOWNTOWN
lemon,ESCAPE
liberty,PLATFORM
little,CHEW
loose,LENIENT
luck,INDUSTRY
make,RAM
marriage,RIBS
meat,BARREL
mind,UNCLEAR
mix,APART
monthly,SPONGE
mountains,HANDCUFFS
muscle,BROOM
neat,CHIEF
neutron,PORTRAY
none,LIVE
number,SKILL
off,KEYS
onion,THUMB
oven,EARRING
pan,JUNGLE
pass,MOTEL
pen,FRECKLE
personality,BARBECUE
pig,PLOT
plant,DROWN
point,MORNING
pot,SPOTLESS
pride,BEYOND
promise,EVENING
purple,CARESS
questions,SOLID
raw,YES
reel,STRIVE
repeat,HEDGE
right,LIQUID
roof,MOUSSE
rug,HEIGHTS
salt,STEW
saw,HANDKERCHIEF
scratch,EXPERIMENT
seek,PICKET
sex,FUSS
she,BIOLOGY
shoes,FRIAR
shy,ATOM
sister,RADIATOR
sleep,FARMER
smell,ATTITUDE
soap,SILLY
sorrow,ANNOUNCE
speak,TREAD
spoiled,ARGUMENT
staff,PUB
state,COTTON
still,FLOW
straight,GRASP
string,COSTUME
succeed,PEAR
superman,FINAL
sympathetic,RURAL
tall,FROG
teach,SIDEWALK
temple,DOUBT
theory,ALGAE
thread,BATHROOM
tighten,ABNORMAL
together,SAP
towel,ACCEPT
trick,SOMETIMES
turn,RECORD
unemployment,MINIMUM
values,SLEEVE
virgin,LAST
wall,MEDAL
way,ANKLE
weird,INTENSITY
whine,FLUID
win,APOLOGY
wonder,MAPLE
worst,LIP
yes,LEOPARD
