target,prime
teach,LEARN
temple,SHRINE
theory,RELATIVITY
thread,NEEDLE
tighten,LOOSEN
together,WITH
towel,WASHCLOTH
trees,LANDSCAPE
tupperware,CONTAINER
understand,REALIZE
value,APPRAISE
violin,VIOLA
walkway,BREEZEWAY
water,BAY
weight,SCALE
where,WHEN
wimp,COWARD
women,MEN
worry,CONCERN
yellow,MELLOW
ability,FUEL
action,DIP
africa,THREAT
alive,CUSS
america,TUBE
annoying,DROP
apple,ATTEND
arrogant,AGENDA
assume,GRANDPA
award,CONTAINER
bag,CHAOS
baseball,BURGLARY
bean,EVERYDAY
beer,SYSTEM
bell,HEADING
billy,SWOON
blonde,CHIME
book,WIDE
boxer,CONQUER
bread,MISTER
brothers,SLAB
bump,TANK
cactus,BEAST
candy,CAPTIVE
carpet,WHOM
cautious,CYCLONE
change,DRILL
chicken,CHANGE
christmas,FREAK
cleaner,MANNERS
cloth,ABUNDANCE
coke,MAGIC
communist,AIRPLANE
confess,SAVE
copy,REGULAR
cow,LAW
create,TIGHT
cup,OUT
dancer,SCARED
deaf,OBSERVE
deodorant,ASPIRIN
diary,BREED
directions,TUBA
dishes,HE
dollars,BORDER
draw,AWARD
drugs,ACCELERATE
early,DIM
elect,CENTURY
employer,GRAIN
enough,DEFINE
excuse,MARSH
extrovert,SAYING
fake,FEET
father,HOMEWORK
fight,GOOSE
fishing,MOVEMENT
florida,CLIMAX
foot,INSTINCT
fortune,RAYS
freedom,DETACH
fun,CON
garden,TOOLS
gin,SPECIFIC
go,OUCH
graduation,BAY
green,GOVERNOR
guilt,STEPS
hammer,NECKLACE
head,QUILT
hello,LASER
hint,SPAGHETTI
homework,TRAMP
hot,AGAIN
hungry,FIVE
idiot,HEAR
indoors,CREASE
island,KITCHEN
jesus,COACH
juvenile,DOZEN
king,MEAT
lace,FIGHT
laugh,NIGHT
leave,TROT
less,ALBUM
life,COFFEE
lobster,DEAD
lost,PERFORM
machine,FOSSIL
mall,CROCODILE
material,FAME
meeting,RUM
minor,TRAIL
modern,OPPORTUNITY
morning,HOST
move,REPAIR
nail,HONEST
need,PHILOSOPHY
news,NUTS
nose,GUESS
nut,OREGANO
often,NAVIGATOR
operation,PAIR
owner,CORRECT
paper,OFF
patience,UPTIGHT
people,SURFACE
piano,LEAVE
pimple,SLIMY
plate,TAME
poker,HESITATE
pound,WEAKNESS
prince,PRODUCTION
property,ABOVE
purse,LUMP
quiet,STATE
read,DINOSAUR
refrigerator,TRIBE
republican,LOAD
ring,ANTEATER
rope,FLOWERS
ruler,CIRCUMSTANCE
sample,LOFT
scare,CAULIFLOWER
search,NORTH
sell,INVENTOR
shake,OCCUPIED
sheets,CONFUSE
shop,UNIFORM
sight,SINGLE
situation,CRACK
slip,PAIL
smoke,FENCE
socket,PLAID
sound,BRISTLE
speech,CRUSH
sport,ELABORATE
stain,MEMORIAL
stay,CELERY
stone,OINTMENT
straw,MONOTONOUS
student,SICK
sugar,BECAUSE
swallow,MUTE
system,MAGNET
tape,TOAD
tear,QUACK
tense,HAPPENING
thin,BACKBONE
thumb,VERSE
tire,ROMAN
tonic,INSECURE
trade,MAGNIFY
trophy,ROOM
twelve,PLAZA
unknown,CLOWN
vault,INQUIRE
vision,MINUTE
want,MIRAGE
wear,FOGGY
west,NERD
who,GIFT
window,AFFAIR
wool,CHEMIST
write,FAILURE
yours,DAMN
accept,FORGIVE
add,NUMBERS
age,MATURE
alone,APART
angel,HARP
anxiety,FRUSTRATION
argument,FEUD
ashtray,ASHES
attic,CELLAR
baby,KIDNAP
balloon,INFLATION
bass,CELLO
beat,OVERPOWER
beginner,AMATEUR
best,PEAK
bitch,ROOMMATE
blush,FLUSH
boring,SYMPHONY
bra,ADJUSTMENT
brick,HOUSE
buffalo,HERD
butter,POPCORN
calm,ENRAGE
car,PETROLEUM
cash,CHECK
cereal,BREAKFAST
cheat,BETRAY
china,EMPIRE
circus,PARADE
climb,ASCENT
club,COMEDY
cologne,FRAGRANCE
con,PERSUADE
construction,CRANE
couch,COMFORTABLE
cracker,NUT
crooked,BENT
cute,KITTEN
dark,WOODS
decision,DILEMMA
desert,CARAVAN
dill,PICKLE
disagreement,ARGUMENT
do,LET
don't,DISTURB
drip,FAUCET
dull,TARNISH
easy,TRANQUIL
elevator,UP
ending,NERVES
even,TRUCE
expensive,TEXT
fad,FASHION
fantasy,ECSTASY
feet,WEB
finger,APPENDAGE
flag,MAILBOX
fly,TRAVEL
foreign,EXCHANGE
fox,MINK
frightened,SACRED
future,TECHNOLOGY
general,COLONEL
give,RETURN
gone,DONE
graph,DIAGRAM
ground,CAMP
gun,COLT
happy,LIVE
healthy,ILL
her,SHE
hitchhike,THUMB
honor,PLEDGE
hours,SEMESTER
hurry,QUICK
illegal,DRUGS
innocent,NAIVE
itch,WOOL
jogger,SWIMMER
keeper,SHOP
kitchen,STOVE
lady,FAT
law,LAWSUIT
leaves,BUSH
lesson,FABLE
light,REFLECT
lock,VAULT
lot,AMOUNT
mad,INSANE
man,MALE
math,INTEGRATE
men,MARINES
minus,NEGATIVE
mold,JELLO
most,MAJORITY
movement,BACKWARD
naked,PARTY
needle,PHYSICIAN
newspaper,ADVERTISEMENT
not,READY
object,MATERIAL
oil,QUART
orange,TIGER
oxygen,NITROGEN
parent,RESPECT
patient,NURSE
pepper,SPICY
pick,ICE
pizza,CRUST
play,BAND
police,STING
power,WILL
princess,VIKING
protect,SAFE
push,BUTTON
rabbit,FURRY
ready,WILLING
refuse,DENY
restaurant,PUB
rip,TEARS
rose,BLOOM
rules,AUTHORITY
sand,SHOVEL
scared,DARKNESS
seatbelt,BUCKLE
seller,OWNER
shallow,DEPTH
shell,SNAIL
shopping,SPEND
sign,TRAFFIC
six,PACK
slippery,VASELINE
smooth,FLOW
soda,SLICE
soup,STEW
speed,VEHICLE
sports,REFEREE
stair,ELEVATOR
stay,MOVE
stone,STICK
straw,SIP
student,SERIOUS
sugar,MAPLE
swallow,CHEW
system,PROCESS
tape,TRANSPARENT
tear,FOLD
tense,RELAX
thin,FRAIL
thumb,THIMBLE
tire,PUMP
tonic,VODKA
trade,CRAFT
trophy,PLAQUE
twelve,JURY
unknown,UNDECIDED
vault,BANK
vision,SIGHT
want,URGE
wear,PANTS
west,SOUTH
who,HOW
window,SCREEN
wool,COTTON
write,CHALKBOARD
young,BRACES
abuse,HEROIN
actress,FORBIDDEN
against,LATIN
allow,CANDY
amuse,DISEASE
ant,QUOTIENT
argue,PALE
artist,WEALTH
attempt,INTOXICATE
ax,OFTEN
ballet,OFFICER
basketball,OVAL
beast,PUT
begin,PROFESSIONAL
bend,VAN
bit,OBVIOUS
blue,ROOMMATE
bored,SOBER
boys,SADDLE
breathe,HAY
bucket,THINK
busy,CAPTURE
call,BRAND
capability,PURCHASE
cars,THIRD
center,ROMANCE
cheap,TRAVEL
children,HEAT
circle,JOINT
climate,CLIPPERS
clown,SACRED
college,ORDERLY
computer,HER
conservative,TRACE
cotton,CHECKERS
crack,ANNOY
criminal,SLIVER
cut,DINER
daring,SPIN
decide,COFFIN
descend,UNIVERSITY
different,DART
disagree,COMPOSE
divide,RESPONSIBILITY
donkey,CHEF
drink,PERISH
duck,FUNGUS
east,STEWARDESS
elephant,TUNNEL
end,NITROGEN
erupt,MEDIOCRE
exit,STING
face,ANTIQUE
family,STYLE
feeling,ETHICS
find,ECONOMY
fix,VISIT
flute,BOUNDARY
force,PRESIDENT
four,SLENDER
fright,SAY
furniture,WALL
geek,DIRECTION
girls,PITCHER
gold,FLY
grape,AWAY
gross,ASTROLOGY
gum,PLAYGROUND
hands,GRAVITY
health,TAPE
helper,PLANT
hit,DEGRADE
honesty,BOX
hound,CAMP
hurricane,CANAL
ill,COMPANION
inhale,LOVER
italian,OVERFLOW
job,BREATH
keep,MONTHLY
kiss,MOTORCYCLE
ladder,RIDER
laugh,VOCABULARY
leave,KNITTING
less,BANQUET
life,SEAT
lobster,GRAFT
lost,RELIGIOUS
machine,SWAN
mall,DIGGER
material,BOLT
meeting,REFRIGERATOR
minor,DIAGRAM
modern,RIDE
morning,CAN
move,OASIS
nail,PIKE
need,CONTEXT
news,GO
nose,CRUDE
nut,DOWN
often,FUMES
operation,SPLIT
owner,BETRAY
paper,INMATE
patience,BLENDER
people,BOOKBAG
piano,MISTAKE
pizza,DANGEROUS
play,VANISH
police,RECOMMEND
power,HAIL
princess,START
protect,BOWL
push,CARPENTER
rabbit,CONSCIOUS
ready,BIG
refuse,COMMA
restaurant,DIRECT
rip,ENEMY
rose,JUSTICE
rules,BLOOD
sand,TIMES
scared,TASTY
seatbelt,LORD
seller,CATTLE
shallow,TRAIN
shell,SPOOL
shopping,PUMPKIN
sign,FAIRY
six,CUSTOMER
slippery,PRICELESS
smooth,RELAX
soda,EGG
soup,INFLATION
speed,RELISH
sports,PROM
stair,GAMBLE
stay,PLATE
stone,ADJUSTMENT
straw,SEATBELT
student,SPATULA
sugar,ALLIGATOR
swallow,STUCK
system,TRUCK
tape,CLARIFY
tear,ABDOMEN
tense,APRON
thin,EMPEROR
thumb,COPY
tire,SNEAKERS
tonic,NEWSSTAND
trade,POTATO
trouble,MAROON
two,PREFER
unusual,PARTY
vegetable,REACH
volcano,IDENTIFICATION
war,PERSUADE
weather,GYMNAST
wet,ORCHESTRA
whole,CLICK
wine,SHRINK
words,COLONEL
writer,STOCKING
yours,RULES
