target,prime
many,DIRT
maze,COBRA
metal,SUBTRACTION
mirror,NORM
money,TANGERINE
mother,SQUINT
mud,SUBTLE
narrow,HOBO
neighborhood,SCARCITY
nice,CLEANER
nothing,OVERCOME
obstacle,STEEL
old,MANNER
organize,BUYER
package,CLOSING
part,OLIGARCHY
peace,HATCHET
perfect,FEMALE
pickles,CAFFEINE
plain,IRON
pledge,PRINCESS
polite,RACKET
prejudice,WILDERNESS
prison,JEWISH
public,QUILL
pyramid,ATTRACT
radio,PIG
reason,CRUTCH
relative,PIE
ribs,THING
road,BELOW
rot,DRAG
russia,BACKGROUND
santa,ESTEEM
schedule,SLAY
secret,PIOUS
sentence,STATUE
shampoo,OYSTER
ship,TYPHOON
shot,ARTS
silly,PROVERB
skill,CRAYOLA
slut,STENCH
snail,HAPPINESS
something,AUNT
south,CIGAR
spider,COCOON
spread,COURT
staple,POEM
steel,USUAL
store,WHITE
street,NOISY
style,LOBE
sun,ILLEGAL
sweat,TELLER
tail,PAT
tasty,REALITY
telephone,INERTIA
test,FOREVER
thirst,ASS
ticket,LAVA
title,LONDON
toothpaste,VIOLET
trait,SUNRISE
truth,TRY
uncle,CEREAL
upstairs,PISSED
vein,DANGER
wagon,SHORTCAKE
wash,MONKEY
web,KEY
what,THREE
wide,ADVERSARY
winter,CAPABILITY
worker,CONCERN
wrong,HARVEST
zone,COMMENT
ache,HEAD
adolescent,TEENAGER
airplane,FLY
always,TRADITION
animal,JUNGLE
ape,CHIMPANZEE
arms,HUG
asleep,TIRED
auto,MOTOR
backward,BEND
bar,RESTAURANT
bathroom,BEDROOM
bedroom,BATHROOM
being,EXISTENCE
bicycle,RIDE
blame,RIDICULE
body,ABDOMEN
bother,OFFEND
branch,PERCH
broccoli,VEGETABLES
builder,CREATOR
cabbage,SPINACH
can,EMPTY
care,HEALTH
catholic,METHODIST
chair,LAWN
chemistry,SUBSTANCE
choice,DECIDE
class,ENDLESS
close,BOLT
cocaine,DRUG
comfortable,CASUAL
concrete,CEMENT
cook,GOURMET
course,OBJECTIVE
crash,PLANE
crunchy,LEAVES
daily,ROUTINE
day,MONTH
defeat,LOSE
destruction,DAMAGE
dinosaur,CREATURE
disease,TREATMENT
dog,PLUTO
doughnut,DOUGH
driving,LICENSE
dust,CLEANING
eggs,ROW
emergency,SIREN
england,ROYAL
exact,IDENTICAL
explode,ATOMIC
faint,LIGHTHEADED
fashion,ORDERLY
few,CALORIES
fire,ENGINE
float,TREAD
folder,NOTEBOOK
forever,LIFE
france,TOUR
fruit,LEMON
game,RULES
get,BRING
glory,PRAISE
goose,BUMPS
grave,CEMETERY
growth,FUNGUS
hall,POOL
hat,BANDANNA
heat,OVEN
high,FEVER
hole,TORN
horse,CATTLE
hula,HAWAII
hypnotize,PENDULUM
in,DRIVE
insurance,TITLE
jail,SUSPECT
journey,ADVENTURE
kidnap,CAPTURE
knife,DULL
land,GEOLOGY
lawyer,PROFESSIONAL
leg,HEM
letters,SCRAMBLED
line,SHORE
long,HOURS
love,VALENTINE
maid,APRON
map,ALMANAC
me,SUPER
middle,CORE
mist,HAZE
monk,FRIAR
motion,PHYSICS
multiply,SUBTRACT
nature,ENVIRONMENT
nephew,COUSIN
night,BAT
novel,AUTHOR
ocean,SPONGE
on,LIT
orgasm,ERUPT
pain,LOUD
partner,COMPANION
peach,PEAR
perfume,SCENT
picture,WALL
plan,BUDGET
plug,SOCKET
politics,SENATOR
present,ATTENDANCE
prisoner,HOSTAGE
pudding,PLUM
quack,DUCK
rain,WIND
recipe,PRECIPICE
relax,COUCH
rice,CHINESE
robbery,BURGLAR
rotten,MOLTEN
sad,ANGRY
satin,SHEETS
school,SCHOLARSHIP
secretary,EXECUTIVE
separate,DIVISION
shape,GEOMETRY
shirt,STRIPES
shove,PULL
similar,DIFFER
skin,SMOOTH
sly,STY
snake,POISON
son,JUNIOR
space,ASTROLOGY
spill,OVERFLOW
spring,AUTUMN
staple,PAPERCLIP
steel,INDUSTRY
store,SALES
street,CROSS
style,MODERN
sun,FLORIDA
sweat,RUNNING
tail,CABOOSE
tasty,YUMMY
telephone,CORD
test,QUESTION
thirst,JUICE
ticket,COP
title,NAME
toothpaste,AIM
trait,PERSONALITY
truth,UNTRUTHFUL
uncle,NEPHEW
upstairs,ATTIC
vein,BLOOD
wagon,WHEEL
wash,SOAK
web,COB
what,DEAF
wide,SPAN
winter,FIREPLACE
worker,MASON
wrong,WAY
zit,CRATER
accuse,PROTEIN
adjective,MELT
air,GUEST
aluminum,SENTENCE
angry,TORTURE
apartment,MIMIC
armor,WEEK
ask,AD
australia,STARCH
backpack,MEANS
bank,ADJECTIVE
bath,REFEREE
bed,CLENCH
behind,UNSOLVED
bible,URGE
black,ENOUGH
boat,SAND
boss,HURRY
brain,HEM
britain,MULE
build,INSANE
cab,DROWSY
camp,SONIC
cards,HORN
cat,DESK
chain,TOY
cheese,PULL
chocolate,SAILOR
clam,TESTIFY
clock,MONTH
coat,VEGETABLE
come,EXPERT
concert,STABLE
control,MEXICO
country,VEGETABLES
crafts,FELT
crowd,FINGERS
dagger,DUE
date,INCOME
deer,TRADITION
destroy,DANDELION
dinner,JOIN
disc,CARELESS
doe,NAIL
dots,ORIENT
driver,SAFE
dusk,PROVE
egg,CONTENT
embarrass,STAIRWAY
energy,SWEETHEART
evil,POISON
explain,TAR
failure,RACE
farm,ATTENDANCE
fence,CHROMOSOMES
finished,HABIT
flirt,RODENT
fold,GRACE
forest,SPAN
frame,GREET
front,SAUSAGE
gamble,ANGRY
george,FRIGHT
glasses,HAUNT
good,GALLON
grass,DEPTH
grow,FAITHFUL
hair,CELLAR
harvest,CLEANING
heart,HOSTAGE
hidden,VALUE
hold,EQUAL
horn,SHOOT
hug,HITCH
husband,IVY
important,DISINTEGRATE
instrument,GRATE
jacket,BEAT
joke,FREEZE
key,RUDE
knee,UNHAPPY
lamb,DICTATOR
lawsuit,BRICK
left,POUND
letter,PEARL
like,POPE
lonely,ROW
loud,COMMITTEE
magic,COB
many,OWE
maze,LUCK
metal,CLERK
mirror,NEGATIVE
money,EXCEDRIN
mother,LOCAL
mud,FOOTBALL
narrow,STRONG
neighborhood,TROPICAL
nice,BRIDGE
nothing,STRIKE
obstacle,CARAVAN
old,DOLLARS
organize,SECRET
package,SOFT
part,NOVEL
peace,SEAFOOD
perfect,DAGGER
pickles,BRANCH
plan,VISITOR
plug,MAP
politics,CODE
present,JERK
prisoner,DESERT
pudding,GOLD
quack,HYGIENE
rain,YUMMY
recipe,MILD
relax,STUFF
rice,QUART
robbery,RETURN
rotten,PIPE
sad,OVEN
satin,STALL
school,CLAMP
secretary,FORESIGHT
separate,OBOE
shape,STOVE
shirt,UNIT
shove,ORNAMENT
similar,STILL
skin,HUSKY
sly,CEREMONY
snake,CHIMPANZEE
son,NEVER
space,CARDBOARD
spill,SCRATCH
spring,SPICY
staple,PART
steel,POOL
store,ENGLISH
street,CONCLUDE
style,LOSE
sun,INSIGHT
sweat,GALAXY
tail,CARDINAL
tasty,SMALL
telephone,BEND
test,COMET
thirst,RARE
ticket,HATCH
title,SUNSET
toothpaste,CHORUS
trash,CHAPTER
try,WRINKLE
unclear,ONION
usa,BONDAGE
verb,DUMB
wait,STACK
washer,EAGLE
wedding,SANDWICH
wheat,HAZE
wife,BOG
wire,OVER
workout,DANDRUFF
yard,MINT
zone,TOTAL
